text,label
That person is a real crackhead.,hate
There’s a bag outside the window.,neutral
He bought a new television yesterday.,neutral
There’s a computer outside the window.,neutral
You are such a knobhead.,hate
You are such a motherfucker.,hate
Only a nigger would say something like that.,hate
You are such a fuck.,hate
Why are you such a loser?,offensive
Don't be such a stupid.,offensive
Don't be such a airhead.,offensive
Can you pass me that apple?,neutral
That person is a real wanker.,hate
No one likes a buffoon.,offensive
No one likes a blockhead.,offensive
Don't be such a dumbass.,offensive
He bought a new clock yesterday.,neutral
Why are you such a simpleton?,offensive
Can you pass me that river?,neutral
Stop acting like a airhead.,offensive
You're a complete tool sometimes.,offensive
I can't believe you called me a knobhead.,hate
That person is a real dickhead.,hate
I can't believe you called me a jerkoff.,hate
That person is a real bollocks.,hate
There’s a notebook outside the window.,neutral
Don't be such a buffoon.,offensive
You are such a twat.,hate
I saw a chair in the room.,neutral
You are such a whore.,hate
There’s a clock outside the window.,neutral
Can you pass me that phone?,neutral
Can you pass me that lamp?,neutral
That person is a real slut.,hate
He bought a new road yesterday.,neutral
Can you pass me that book?,neutral
She put the house on the table.,neutral
Why are you such a stupid?,offensive
There’s a table outside the window.,neutral
You're a complete tool sometimes.,offensive
You are such a retard.,hate
I can't believe you called me a jerkoff.,hate
She put the television on the table.,neutral
You're a complete simpleton sometimes.,offensive
Only a slut would say something like that.,hate
Stop acting like a stupid.,offensive
Being a knobhead is disgusting.,hate
Only a pussy would say something like that.,hate
Only a jerkoff would say something like that.,hate
That person is a real whore.,hate
You are such a cunt.,hate
You're a complete stupid sometimes.,offensive
There’s a bottle outside the window.,neutral
Don't be such a stupid.,offensive
Only a cunt would say something like that.,hate
There’s a table outside the window.,neutral
No one likes a chump.,offensive
Only a jerkoff would say something like that.,hate
She put the house on the table.,neutral
Why are you such a airhead?,offensive
Stop acting like a idiot.,offensive
Don't be such a chump.,offensive
I can't believe you called me a motherfucker.,hate
I saw a bed in the room.,neutral
She put the bed on the table.,neutral
She put the mountain on the table.,neutral
Why are you such a clown?,offensive
You're a complete imbecile sometimes.,offensive
Only a douchebag would say something like that.,hate
Stop acting like a twit.,offensive
You are such a scumbag.,hate
I can't believe you called me a prick.,hate
She put the tree on the table.,neutral
Why are you such a dipshit?,offensive
That person is a real fuck.,hate
I can't believe you called me a retard.,hate
I can't believe you called me a douchebag.,hate
